"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
1691,1048,1494,806,1816,1183,718,304,117,1896,1126,1323,722,1223,716,346,1018,975,879,858,260,1570,978,1313,1351,609,1731,112,1669,36,65,1631,362,180,267,749,1436,156,745,784,990,407,1325,1056,171,1333,739,562,1089,213,1691,1048,1494,806,1816,1183,718,304,117,1896,1126,1323,722,1223,716,346,1018,975,879,858,260,1570,978,1313,1351,609,1731,112,1669,36,65,1631,362,180,267,749,1436,156,745,784,990,407,1325,1056,171,1333,739,562,1089,213,1691,1048,1494,806,1816,1183,718,304,117,1896,1126,1323,722,1223,716,346,1018,975,879,858,260,1570,978,1313,1351,609,1731,112,1669,36,65,1631,362,180,267,749,1436,156,745,784,990,407,1325,1056,171,1333,739,562,1089,213,1691,1048,1494,806,1816,1183,718,304,117,1896,1126,1323,722,1223,716,346,1018,975,879,858,260,1570,978,1313,1351,609,1731,112,1669,36,65,1631,362,180,267,749,1436,156,745,784,990,407,1325,1056,171,1333,739,562,1089,213
86,566,999,911,264,1070,1574,1803,690,403,1719,1387,666,1871,1560,651,215,146,387,568,487,1813,1324,1471,827,179,376,253,1589,107,1837,1676,114,1949,599,357,14,1852,851,1150,638,133,411,275,277,920,1137,504,1869,480,86,566,999,911,264,1070,1574,1803,690,403,1719,1387,666,1871,1560,651,215,146,387,568,487,1813,1324,1471,827,179,376,253,1589,107,1837,1676,114,1949,599,357,14,1852,851,1150,638,133,411,275,277,920,1137,504,1869,480,86,566,999,911,264,1070,1574,1803,690,403,1719,1387,666,1871,1560,651,215,146,387,568,487,1813,1324,1471,827,179,376,253,1589,107,1837,1676,114,1949,599,357,14,1852,851,1150,638,133,411,275,277,920,1137,504,1869,480,86,566,999,911,264,1070,1574,1803,690,403,1719,1387,666,1871,1560,651,215,146,387,568,487,1813,1324,1471,827,179,376,253,1589,107,1837,1676,114,1949,599,357,14,1852,851,1150,638,133,411,275,277,920,1137,504,1869,480
1058,1005,1501,31,157,1763,830,1024,616,1927,624,537,1545,238,1255,1449,868,39,1165,247,737,153,448,498,276,1285,1144,1561,93,816,1382,1054,1359,193,728,903,1625,663,569,736,1447,1141,1993,13,899,926,396,1352,1081,875,1058,1005,1501,31,157,1763,830,1024,616,1927,624,537,1545,238,1255,1449,868,39,1165,247,737,153,448,498,276,1285,1144,1561,93,816,1382,1054,1359,193,728,903,1625,663,569,736,1447,1141,1993,13,899,926,396,1352,1081,875,1058,1005,1501,31,157,1763,830,1024,616,1927,624,537,1545,238,1255,1449,868,39,1165,247,737,153,448,498,276,1285,1144,1561,93,816,1382,1054,1359,193,728,903,1625,663,569,736,1447,1141,1993,13,899,926,396,1352,1081,875,1058,1005,1501,31,157,1763,830,1024,616,1927,624,537,1545,238,1255,1449,868,39,1165,247,737,153,448,498,276,1285,1144,1561,93,816,1382,1054,1359,193,728,903,1625,663,569,736,1447,1141,1993,13,899,926,396,1352,1081,875
1093,1458,18,295,503,216,1954,417,1872,1432,501,1822,682,1121,720,1278,839,973,468,66,119,810,47,1251,1559,1575,1196,766,459,908,1897,984,284,1771,600,750,59,1,1377,467,95,510,1650,1026,1209,584,222,1170,968,1569,1093,1458,18,295,503,216,1954,417,1872,1432,501,1822,682,1121,720,1278,839,973,468,66,119,810,47,1251,1559,1575,1196,766,459,908,1897,984,284,1771,600,750,59,1,1377,467,95,510,1650,1026,1209,584,222,1170,968,1569,1093,1458,18,295,503,216,1954,417,1872,1432,501,1822,682,1121,720,1278,839,973,468,66,119,810,47,1251,1559,1575,1196,766,459,908,1897,984,284,1771,600,750,59,1,1377,467,95,510,1650,1026,1209,584,222,1170,968,1569,1093,1458,18,295,503,216,1954,417,1872,1432,501,1822,682,1121,720,1278,839,973,468,66,119,810,47,1251,1559,1575,1196,766,459,908,1897,984,284,1771,600,750,59,1,1377,467,95,510,1650,1026,1209,584,222,1170,968,1569
1424,881,1443,1588,639,610,383,1212,1400,1783,991,351,81,1620,339,1466,774,1596,1392,1152,1929,1688,97,1958,1096,723,84,160,1572,231,838,1759,1682,1857,1922,136,550,488,1439,1505,237,2000,1576,1148,1818,1410,1735,20,414,1892,1424,881,1443,1588,639,610,383,1212,1400,1783,991,351,81,1620,339,1466,774,1596,1392,1152,1929,1688,97,1958,1096,723,84,160,1572,231,838,1759,1682,1857,1922,136,550,488,1439,1505,237,2000,1576,1148,1818,1410,1735,20,414,1892,1424,881,1443,1588,639,610,383,1212,1400,1783,991,351,81,1620,339,1466,774,1596,1392,1152,1929,1688,97,1958,1096,723,84,160,1572,231,838,1759,1682,1857,1922,136,550,488,1439,1505,237,2000,1576,1148,1818,1410,1735,20,414,1892,1424,881,1443,1588,639,610,383,1212,1400,1783,991,351,81,1620,339,1466,774,1596,1392,1152,1929,1688,97,1958,1096,723,84,160,1572,231,838,1759,1682,1857,1922,136,550,488,1439,1505,237,2000,1576,1148,1818,1410,1735,20,414,1892
1097,1338,1592,1894,985,801,905,1644,1729,1206,939,1548,1981,1216,1403,331,1821,1984,486,1188,1320,1782,535,450,127,218,640,1895,1608,953,764,1496,778,1502,1802,41,404,1414,456,896,1707,327,842,871,1095,585,546,1478,1577,374,1097,1338,1592,1894,985,801,905,1644,1729,1206,939,1548,1981,1216,1403,331,1821,1984,486,1188,1320,1782,535,450,127,218,640,1895,1608,953,764,1496,778,1502,1802,41,404,1414,456,896,1707,327,842,871,1095,585,546,1478,1577,374,1097,1338,1592,1894,985,801,905,1644,1729,1206,939,1548,1981,1216,1403,331,1821,1984,486,1188,1320,1782,535,450,127,218,640,1895,1608,953,764,1496,778,1502,1802,41,404,1414,456,896,1707,327,842,871,1095,585,546,1478,1577,374,1097,1338,1592,1894,985,801,905,1644,1729,1206,939,1548,1981,1216,1403,331,1821,1984,486,1188,1320,1782,535,450,127,218,640,1895,1608,953,764,1496,778,1502,1802,41,404,1414,456,896,1707,327,842,871,1095,585,546,1478,1577,374
1350,1661,1173,552,256,780,1038,23,1467,177,642,1626,884,746,1064,1006,1728,1732,1344,1236,1246,1714,1033,56,1240,1153,1627,1354,368,1614,166,531,1129,369,1856,1375,508,1948,1900,1335,296,1310,1756,1139,532,1445,142,87,281,1946,1350,1661,1173,552,256,780,1038,23,1467,177,642,1626,884,746,1064,1006,1728,1732,1344,1236,1246,1714,1033,56,1240,1153,1627,1354,368,1614,166,531,1129,369,1856,1375,508,1948,1900,1335,296,1310,1756,1139,532,1445,142,87,281,1946,1350,1661,1173,552,256,780,1038,23,1467,177,642,1626,884,746,1064,1006,1728,1732,1344,1236,1246,1714,1033,56,1240,1153,1627,1354,368,1614,166,531,1129,369,1856,1375,508,1948,1900,1335,296,1310,1756,1139,532,1445,142,87,281,1946,1350,1661,1173,552,256,780,1038,23,1467,177,642,1626,884,746,1064,1006,1728,1732,1344,1236,1246,1714,1033,56,1240,1153,1627,1354,368,1614,166,531,1129,369,1856,1375,508,1948,1900,1335,296,1310,1756,1139,532,1445,142,87,281,1946
594,588,343,452,893,1401,1747,272,629,1339,1045,350,1578,1781,288,1901,1642,1331,1706,1918,1722,225,1695,1615,1504,250,934,840,1657,1268,1340,68,1701,176,1551,567,564,128,400,1167,1914,502,1448,322,1169,473,1032,90,1099,1230,594,588,343,452,893,1401,1747,272,629,1339,1045,350,1578,1781,288,1901,1642,1331,1706,1918,1722,225,1695,1615,1504,250,934,840,1657,1268,1340,68,1701,176,1551,567,564,128,400,1167,1914,502,1448,322,1169,473,1032,90,1099,1230,594,588,343,452,893,1401,1747,272,629,1339,1045,350,1578,1781,288,1901,1642,1331,1706,1918,1722,225,1695,1615,1504,250,934,840,1657,1268,1340,68,1701,176,1551,567,564,128,400,1167,1914,502,1448,322,1169,473,1032,90,1099,1230,594,588,343,452,893,1401,1747,272,629,1339,1045,350,1578,1781,288,1901,1642,1331,1706,1918,1722,225,1695,1615,1504,250,934,840,1657,1268,1340,68,1701,176,1551,567,564,128,400,1167,1914,502,1448,322,1169,473,1032,90,1099,1230
328,1370,656,1186,1690,1308,233,589,712,491,57,475,1941,1066,409,418,1069,1902,587,1418,835,1061,561,1282,226,76,891,1002,1607,1249,909,1389,1243,1118,534,1689,1824,1015,1509,705,572,753,1492,1724,704,1457,493,1799,1263,120,328,1370,656,1186,1690,1308,233,589,712,491,57,475,1941,1066,409,418,1069,1902,587,1418,835,1061,561,1282,226,76,891,1002,1607,1249,909,1389,1243,1118,534,1689,1824,1015,1509,705,572,753,1492,1724,704,1457,493,1799,1263,120,328,1370,656,1186,1690,1308,233,589,712,491,57,475,1941,1066,409,418,1069,1902,587,1418,835,1061,561,1282,226,76,891,1002,1607,1249,909,1389,1243,1118,534,1689,1824,1015,1509,705,572,753,1492,1724,704,1457,493,1799,1263,120,328,1370,656,1186,1690,1308,233,589,712,491,57,475,1941,1066,409,418,1069,1902,587,1418,835,1061,561,1282,226,76,891,1002,1607,1249,909,1389,1243,1118,534,1689,1824,1015,1509,705,572,753,1492,1724,704,1457,493,1799,1263,120
292,134,576,1195,886,1935,476,1557,1154,738,1760,1088,293,349,406,1125,971,181,1533,1920,817,1587,1092,592,846,1931,1143,517,154,1764,229,42,172,395,1394,338,1710,1427,824,1629,252,963,1730,92,1995,1372,1838,217,1272,1034,292,134,576,1195,886,1935,476,1557,1154,738,1760,1088,293,349,406,1125,971,181,1533,1920,817,1587,1092,592,846,1931,1143,517,154,1764,229,42,172,395,1394,338,1710,1427,824,1629,252,963,1730,92,1995,1372,1838,217,1272,1034,292,134,576,1195,886,1935,476,1557,1154,738,1760,1088,293,349,406,1125,971,181,1533,1920,817,1587,1092,592,846,1931,1143,517,154,1764,229,42,172,395,1394,338,1710,1427,824,1629,252,963,1730,92,1995,1372,1838,217,1272,1034,292,134,576,1195,886,1935,476,1557,1154,738,1760,1088,293,349,406,1125,971,181,1533,1920,817,1587,1092,592,846,1931,1143,517,154,1764,229,42,172,395,1394,338,1710,1427,824,1629,252,963,1730,92,1995,1372,1838,217,1272,1034
1102,506,311,1146,495,1027,1817,1646,1673,1681,845,1399,1470,1317,1037,1516,892,355,1969,1426,578,1253,980,1151,372,1905,1072,1966,1580,1906,1964,798,1298,1289,583,1001,1879,1932,183,1528,1742,1581,677,1947,1068,443,500,1291,402,1976,1102,506,311,1146,495,1027,1817,1646,1673,1681,845,1399,1470,1317,1037,1516,892,355,1969,1426,578,1253,980,1151,372,1905,1072,1966,1580,1906,1964,798,1298,1289,583,1001,1879,1932,183,1528,1742,1581,677,1947,1068,443,500,1291,402,1976,1102,506,311,1146,495,1027,1817,1646,1673,1681,845,1399,1470,1317,1037,1516,892,355,1969,1426,578,1253,980,1151,372,1905,1072,1966,1580,1906,1964,798,1298,1289,583,1001,1879,1932,183,1528,1742,1581,677,1947,1068,443,500,1291,402,1976,1102,506,311,1146,495,1027,1817,1646,1673,1681,845,1399,1470,1317,1037,1516,892,355,1969,1426,578,1253,980,1151,372,1905,1072,1966,1580,1906,1964,798,1298,1289,583,1001,1879,1932,183,1528,1742,1581,677,1947,1068,443,500,1291,402,1976
359,528,1446,356,1162,337,966,307,1116,478,149,1328,32,1388,604,541,1621,111,1021,1834,1633,979,77,184,1284,852,208,1200,313,401,1369,1130,1610,703,1393,1202,50,957,890,1779,938,255,1595,423,1010,1358,1820,1873,1786,646,359,528,1446,356,1162,337,966,307,1116,478,149,1328,32,1388,604,541,1621,111,1021,1834,1633,979,77,184,1284,852,208,1200,313,401,1369,1130,1610,703,1393,1202,50,957,890,1779,938,255,1595,423,1010,1358,1820,1873,1786,646,359,528,1446,356,1162,337,966,307,1116,478,149,1328,32,1388,604,541,1621,111,1021,1834,1633,979,77,184,1284,852,208,1200,313,401,1369,1130,1610,703,1393,1202,50,957,890,1779,938,255,1595,423,1010,1358,1820,1873,1786,646,359,528,1446,356,1162,337,966,307,1116,478,149,1328,32,1388,604,541,1621,111,1021,1834,1633,979,77,184,1284,852,208,1200,313,401,1369,1130,1610,703,1393,1202,50,957,890,1779,938,255,1595,423,1010,1358,1820,1873,1786,646
790,955,1891,1294,243,862,1283,194,1811,1997,408,1011,536,1271,285,103,484,347,1168,1584,915,1773,620,1071,1280,1455,188,246,360,427,771,135,325,6,1460,1785,819,623,526,447,547,1391,251,1040,873,64,1019,877,792,914,790,955,1891,1294,243,862,1283,194,1811,1997,408,1011,536,1271,285,103,484,347,1168,1584,915,1773,620,1071,1280,1455,188,246,360,427,771,135,325,6,1460,1785,819,623,526,447,547,1391,251,1040,873,64,1019,877,792,914,790,955,1891,1294,243,862,1283,194,1811,1997,408,1011,536,1271,285,103,484,347,1168,1584,915,1773,620,1071,1280,1455,188,246,360,427,771,135,325,6,1460,1785,819,623,526,447,547,1391,251,1040,873,64,1019,877,792,914,790,955,1891,1294,243,862,1283,194,1811,1997,408,1011,536,1271,285,103,484,347,1168,1584,915,1773,620,1071,1280,1455,188,246,360,427,771,135,325,6,1460,1785,819,623,526,447,547,1391,251,1040,873,64,1019,877,792,914
727,72,1793,1968,997,1380,45,1301,1549,161,1860,1221,956,1318,849,1043,1342,1987,874,197,551,1521,1422,1700,474,1582,747,410,209,1908,954,1086,182,697,5,923,818,1674,1474,354,1903,492,579,1685,1184,1586,100,1745,1970,1939,727,72,1793,1968,997,1380,45,1301,1549,161,1860,1221,956,1318,849,1043,1342,1987,874,197,551,1521,1422,1700,474,1582,747,410,209,1908,954,1086,182,697,5,923,818,1674,1474,354,1903,492,579,1685,1184,1586,100,1745,1970,1939,727,72,1793,1968,997,1380,45,1301,1549,161,1860,1221,956,1318,849,1043,1342,1987,874,197,551,1521,1422,1700,474,1582,747,410,209,1908,954,1086,182,697,5,923,818,1674,1474,354,1903,492,579,1685,1184,1586,100,1745,1970,1939,727,72,1793,1968,997,1380,45,1301,1549,161,1860,1221,956,1318,849,1043,1342,1987,874,197,551,1521,1422,1700,474,1582,747,410,209,1908,954,1086,182,697,5,923,818,1674,1474,354,1903,492,579,1685,1184,1586,100,1745,1970,1939
1874,1464,1776,110,544,1252,1899,1115,1861,1191,1203,612,192,336,1518,121,800,1980,1374,21,344,1553,1341,1462,933,686,221,1523,1974,527,1862,118,1571,1564,25,1138,1073,861,239,1163,702,607,557,1175,29,731,1408,1823,1619,741,1874,1464,1776,110,544,1252,1899,1115,1861,1191,1203,612,192,336,1518,121,800,1980,1374,21,344,1553,1341,1462,933,686,221,1523,1974,527,1862,118,1571,1564,25,1138,1073,861,239,1163,702,607,557,1175,29,731,1408,1823,1619,741,1874,1464,1776,110,544,1252,1899,1115,1861,1191,1203,612,192,336,1518,121,800,1980,1374,21,344,1553,1341,1462,933,686,221,1523,1974,527,1862,118,1571,1564,25,1138,1073,861,239,1163,702,607,557,1175,29,731,1408,1823,1619,741,1874,1464,1776,110,544,1252,1899,1115,1861,1191,1203,612,192,336,1518,121,800,1980,1374,21,344,1553,1341,1462,933,686,221,1523,1974,527,1862,118,1571,1564,25,1138,1073,861,239,1163,702,607,557,1175,29,731,1408,1823,1619,741
